"No.","Time","Source","Destination","Protocol","Length","Info"
"43","0.140913","162.125.40.1","192.168.86.162","TCP","194","[TCP Retransmission] 443  >  56015 [ACK] Seq=1 Ack=1 Win=358 Len=128 TSval=3502118457 TSecr=4174596177"
"55","0.207241","192.168.86.162","192.168.86.47","TCP","78","56126  >  7000 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3598801334 TSecr=0 SACK_PERM"
"56","0.216223","192.168.86.47","192.168.86.162","TCP","78","7000  >  56126 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=32 TSval=2796585809 TSecr=3598801334 SACK_PERM"
"57","0.216324","192.168.86.162","192.168.86.47","TCP","66","56126  >  7000 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3598801402 TSecr=2796585809"
"58","0.216402","192.168.86.162","192.168.86.47","TCP","107","56126  >  7000 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=41 TSval=3598801402 TSecr=2796585809"
"61","0.224921","192.168.86.47","192.168.86.162","TCP","66","7000  >  56126 [ACK] Seq=1 Ack=42 Win=131712 Len=0 TSval=2796585817 TSecr=3598801402"
"62","0.240888","192.168.86.47","192.168.86.162","TCP","1514","7000  >  56126 [ACK] Seq=1 Ack=42 Win=131712 Len=1448 TSval=2796585833 TSecr=3598801402"
"63","0.240966","192.168.86.162","192.168.86.47","TCP","66","56126  >  7000 [ACK] Seq=42 Ack=1449 Win=130304 Len=0 TSval=3598801427 TSecr=2796585833"
"64","0.241300","192.168.86.47","192.168.86.162","TCP","677","7000  >  56126 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=611 TSval=2796585833 TSecr=3598801402"
"65","0.241342","192.168.86.162","192.168.86.47","TCP","66","56126  >  7000 [ACK] Seq=42 Ack=2060 Win=130432 Len=0 TSval=3598801427 TSecr=2796585833"
"66","0.241487","192.168.86.162","192.168.86.47","TCP","66","56126  >  7000 [FIN, ACK] Seq=42 Ack=2060 Win=131072 Len=0 TSval=3598801427 TSecr=2796585833"
"69","0.256869","192.168.86.47","192.168.86.162","TCP","66","7000  >  56126 [ACK] Seq=2060 Ack=43 Win=131712 Len=0 TSval=2796585842 TSecr=3598801427"
"70","0.257391","192.168.86.47","192.168.86.162","TCP","66","7000  >  56126 [FIN, ACK] Seq=2060 Ack=43 Win=131712 Len=0 TSval=2796585842 TSecr=3598801427"
"73","0.257482","192.168.86.162","192.168.86.47","TCP","66","56126  >  7000 [ACK] Seq=43 Ack=2061 Win=131072 Len=0 TSval=3598801443 TSecr=2796585842"
"104","0.439304","157.240.11.54","192.168.86.162","TCP","66","443  >  54822 [ACK] Seq=1 Ack=129 Win=884 Len=0 TSval=3246780053 TSecr=523979293"
"110","0.447659","192.168.86.162","157.240.11.54","TCP","66","54822  >  443 [ACK] Seq=129 Ack=1135 Win=2030 Len=0 TSval=523979345 TSecr=3246780077"
"121","0.457786","192.168.86.162","8.8.4.4","TCP","78","56128  >  853 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2969101551 TSecr=0 SACK_PERM"
"138","0.459014","192.168.86.162","8.8.4.4","TCP","78","56129  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=252729379 TSecr=0 SACK_PERM"
"158","0.484529","8.8.4.4","192.168.86.162","TCP","74","443  >  56129 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=1169388407 TSecr=252729379 WS=256"
"159","0.484621","192.168.86.162","8.8.4.4","TCP","66","56129  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=252729405 TSecr=1169388407"
"161","0.487299","8.8.4.4","192.168.86.162","TCP","74","853  >  56128 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=4095563190 TSecr=2969101551 WS=256"
"164","0.487435","192.168.86.162","8.8.4.4","TCP","66","56128  >  853 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=2969101581 TSecr=4095563190"
"171","0.528426","8.8.4.4","192.168.86.162","TCP","66","443  >  56129 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=1169388446 TSecr=252729405"
"177","0.532165","162.125.40.2","192.168.86.162","TCP","54","443  >  56097 [RST] Seq=1 Win=0 Len=0"
"187","0.532821","192.168.86.162","35.186.224.24","TCP","78","56130  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3741464280 TSecr=0 SACK_PERM"
"188","0.532994","192.168.86.162","35.186.224.31","TCP","78","56131  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2034207587 TSecr=0 SACK_PERM"
"192","0.534232","8.8.4.4","192.168.86.162","TCP","1466","[TCP Out-Of-Order] 443  >  56129 [ACK] Seq=1 Ack=518 Win=268800 Len=1400 TSval=1169388457 TSecr=252729405"
"193","0.534310","192.168.86.162","8.8.4.4","TCP","78","[TCP Dup ACK 159#1] 56129  >  443 [ACK] Seq=518 Ack=1 Win=131584 Len=0 TSval=252729454 TSecr=1169388446 SLE=1401 SRE=4244"
"194","0.534349","192.168.86.162","8.8.4.4","TCP","66","56129  >  443 [ACK] Seq=518 Ack=4244 Win=127296 Len=0 TSval=252729454 TSecr=1169388457"
"195","0.537183","192.168.86.162","8.8.4.4","TCP","66","[TCP Window Update] 56129  >  443 [ACK] Seq=518 Ack=4244 Win=131072 Len=0 TSval=252729457 TSecr=1169388457"
"204","0.538494","192.168.86.172","192.168.86.162","TCP","407","8009  >  50803 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=341 TSval=2311859074 TSecr=1947085131 [TCP PDU reassembled in 231]"
"205","0.544225","192.168.86.30","192.168.86.162","TCP","414","8009  >  50948 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=348 TSval=3963810248 TSecr=2223796380 [TCP PDU reassembled in 206]"
"207","0.557901","192.168.86.162","8.8.4.4","TCP","78","56132  >  853 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4029457488 TSecr=0 SACK_PERM"
